Place,Points,Name,PDGA#,Rating,Par,Rd1,Rd2,Rd3,Finals,Total,Prize
1,1340,Chris Dickerson,62467,1045,-41,52,51,48,56,207,"$6,000"
2,1330,Richard Wysocki,38008,1055,-38,53,52,51,54,210,"$3,500"
3,1320,Andrew Presnell,63765,1027,-30,52,54,51,61,218,"$2,165"
3,1320,Paul McBeth,27523,1053,-30,53,58,53,54,218,"$2,165"
5,1300,Andrew Marwede,75590,1025,-27,52,57,55,57,221,"$1,850"
6,1290,Matthew Orum,18330,1039,-25,51,61,52,59,223,"$1,750"
7,1280,Eagle Wynne McMahon,37817,1055,-24,60,57,54,53,224,"$1,600"
7,1280,Calvin Heimburg,45971,1049,-24,55,57,54,58,224,"$1,600"
9,1260,Matt Bell,48950,1022,-23,53,58,55,59,225,"$1,450"
10,1250,Paul Ulibarri,27171,1029,-22,53,58,56,59,226,"$1,220"
10,1250,Bradley Williams,31644,1024,-22,54,60,51,61,226,"$1,220"
10,1250,Alex Russell,66362,1018,-22,57,55,54,60,226,"$1,220"
10,1250,Gannon Buhr,75412,1027,-22,55,66,49,56,226,"$1,220"
14,1210,Simon Lizotte,8332,1032,-21,59,54,55,59,227,"$1,025"
14,1210,Tim Barham,53332,1017,-21,53,62,55,57,227,"$1,025"
16,1190,Garrett Gurthie,13864,1030,-20,56,58,54,60,228,$907
16,1190,James Conrad,17295,1037,-20,53,59,55,61,228,$907
16,1190,Chandler Fry,25541,1026,-20,50,62,56,60,228,$907
19,1160,Jeremy Koling,33705,1027,-19,59,58,52,60,229,$795
19,1160,Thomas Gilbert,85850,1022,-19,58,58,56,57,229,$795
19,1160,Zackeriath Johnson,50312,1019,-19,55,58,55,61,229,$795
19,1160,Adam Hammes,57365,1038,-19,54,58,56,61,229,$795
19,1160,Noah Meintsma,56555,1011,-19,55,60,54,60,229,$795
24,1110,Corey Ellis,44512,1019,-18,52,65,56,57,230,$713
24,1110,Alden Harris,98091,1019,-18,54,60,56,60,230,$713
26,1090,Kevin Jones,41760,1038,-17,56,59,54,62,231,$675
27,1080,Kyle Klein,85132,1038,-16,55,58,61,58,232,$610
27,1080,Chris Clemons,50401,1028,-16,59,63,55,55,232,$610
27,1080,Gavin Babcock,80331,1003,-16,56,63,57,56,232,$610
27,1080,Nikko Locastro,11534,1031,-16,57,61,56,58,232,$610
27,1080,Casey White,81739,1020,-16,55,57,58,62,232,$610
32,1030,Michael Johansen,20300,1018,-15,52,62,56,63,233,$543
32,1030,Andrew Fish,58320,1027,-15,57,62,54,60,233,$543
34,1010,Joel Freeman,69509,1030,-14,56,59,60,59,234,$505
34,1010,Colten Montgomery,35876,1020,-14,56,60,59,59,234,$505
34,1010,Philo Brathwaite,26416,1021,-14,59,60,56,59,234,$505
37,980,Martin Hendel,39469,1021,-13,56,63,57,59,235,$460
37,980,AJ Carey,61770,1009,-13,56,63,58,58,235,$460
37,980,Dylan Horst,32599,1000,-13,57,62,56,60,235,$460
40,950,Luke Humphries,69424,1013,-12,57,60,57,62,236,$423
40,950,Raven Newsom,88212,1019,-12,56,64,54,62,236,$423
42,930,Nathan Queen,68286,1027,-11,54,65,54,64,237,$393
42,930,Levi Hancock,103050,998,-11,55,63,60,59,237,$393
44,910,Charles Behrhorst,42202,1002,-10,57,64,55,62,238,$360
44,910,Nicholas Carl,82935,1000,-10,58,59,58,63,238,$360
44,910,Dylan Capaccioli,122655,985,-10,53,58,60,67,238,$360
44,910,Bartosz Kowalewski,68737,1001,-10,59,58,58,63,238,$360
48,870,Daniel Brooks-Wells,79228,1007,-9,57,60,60,62,239,$327
48,870,Jonathan Propalis,55926,991,-9,56,66,55,62,239,$327
48,870,Cale Leiviska,24341,1036,-9,57,61,57,64,239,$327
51,840,Benjamin Callaway,39015,1022,-7,59,56,63,63,241,$315
52,830,Austin Hannum,68835,1021,-6,58,62,56,66,242,$310
53,820,Philip Bartholomew,45441,1004,-4,61,62,55,66,244,$305
54,810,Alex Berg,65488,975,1,59,62,57,71,249,$300