Place,Points,Name,PDGA#,Rating,Par,Rd1,Rd2,Rd3,Total,Prize
1,1100,Paul McBeth,27523,1055,-23,54,53,50,157,"$4,000"
2,1090,Richard Wysocki,38008,1050,-19,54,51,56,161,"$2,800"
3,1080,Calvin Heimburg,45971,1044,-16,56,53,55,164,"$1,700"
4,1070,Kyle Klein,85132,1028,-15,53,57,55,165,"$1,500"
5,1060,Chris Dickerson,62467,1045,-14,59,52,55,166,"$1,350"
5,1060,Garrett Gurthie,13864,1033,-14,54,57,55,166,"$1,350"
7,1040,Nikko Locastro,11534,1031,-13,57,54,56,167,"$1,250"
8,1030,Simon Lizotte,8332,1040,-12,59,55,54,168,"$1,150"
8,1030,Chris Clemons,50401,1025,-12,57,55,56,168,"$1,150"
8,1030,Jeremy Koling,33705,1024,-12,60,54,54,168,"$1,150"
11,1000,Colten Montgomery,35876,1012,-10,56,57,57,170,"$1,000"
12,990,Andrew Fish,58320,1025,-9,51,61,59,171,$925
12,990,Noah Meintsma,56555,1021,-9,57,60,54,171,$925
14,970,Eagle Wynne McMahon,37817,1054,-7,58,60,55,173,$794
14,970,Casey White,81739,1010,-7,61,59,53,173,$794
14,970,Mike Sale,46910,1013,-7,61,58,54,173,$794
14,970,James Conrad,17295,1034,-7,60,57,56,173,$794
18,930,Eric Oakley,53565,1020,-6,58,57,59,174,$713
18,930,Emerson Keith,47472,1029,-6,59,61,54,174,$713
20,910,Alex Russell,66362,1021,-5,59,56,60,175,$620
20,910,Terry Rothlisberger,57493,1011,-5,55,64,56,175,$620
20,910,Kevin Jones,41760,1037,-5,54,59,62,175,$620
20,910,Austin Hannum,68835,1026,-5,56,60,59,175,$620
20,910,Josh DiBattista,86089,999,-5,56,55,64,175,$620
25,860,Mike Carman,48559,994,-4,57,61,58,176,$533
25,860,Thomas Gilbert,85850,1013,-4,60,64,52,176,$533
25,860,Luke Humphries,69424,1016,-4,62,58,56,176,$533
25,860,Raven Newsom,88212,1007,-4,58,60,58,176,$533
29,820,Reid Frescura,48338,1009,-3,59,56,62,177,$495
29,820,Dustin Keegan,35187,1016,-3,57,59,61,177,$495
31,800,Kyle Moriarty,50920,998,-2,58,58,62,178,$480
32,790,Brian Earhart,45879,1012,E,62,59,59,180,$460
32,790,Steve Brinster,10628,1020,E,55,61,64,180,$460
32,790,Jordan Castro,49431,1014,E,58,62,60,180,$460
35,760,Charles Behrhorst,42202,999,1,61,59,61,181,$435
35,760,Matt Bell,48950,1025,1,62,60,59,181,$435
37,740,Mark Peters,45745,984,2,64,56,62,182,$415
37,740,Paul Ulibarri,27171,1026,2,63,59,60,182,$415
39,720,Louis LaPorta,49094,999,3,62,62,59,183,$380
39,720,Cameron Messerschmidt,58814,1014,3,61,60,62,183,$380
39,720,Daniel Maloney,75201,988,3,60,61,62,183,$380
39,720,Nate Perkins,65737,1014,3,66,61,56,183,$380
39,720,Kevin Kohl,53341,993,3,62,62,59,183,$380
44,670,Philo Brathwaite,26416,1027,4,61,66,57,184,$118
44,670,Ezra Aderhold,121715,1014,4,67,62,55,184,$118
44,670,Tristan Tanner,99053,1001,4,63,66,55,184,$118