Place,Points,Name,PDGA#,Rating,Par,Rd1,Rd2,Rd3,Rd4,Finals,Total,Prize
1,3135,James Conrad,17295,1034,-39,50,56,52,54,54,266,"$16,500"
2,3120,Paul McBeth,27523,1051,-39,51,55,52,53,55,266,"$10,000"
3,3105,Nathan Sexton,18824,1033,-35,48,58,48,59,57,270,"$8,500"
4,3090,Kevin Jones,41760,1033,-33,49,57,51,55,60,272,"$6,500"
4,3090,Chris Dickerson,62467,1045,-33,53,54,53,54,58,272,"$6,500"
6,3060,Gregg Barsby,15857,1019,-31,50,57,54,56,57,274,"$5,100"
7,3045,Richard Wysocki,38008,1054,-30,48,58,53,57,59,275,"$4,400"
8,3030,Cale Leiviska,24341,1030,-29,50,56,54,59,57,276,"$3,300"
8,3030,Kyle Klein,85132,1031,-29,50,62,50,55,59,276,"$3,300"
8,3030,Eagle Wynne McMahon,37817,1052,-29,50,62,54,54,56,276,"$3,300"
11,2985,Mason Ford,72844,1027,-28,50,56,51,59,61,277,"$1,900"
11,2985,Calvin Heimburg,45971,1050,-28,49,54,50,59,65,277,"$1,900"
13,2955,Thomas Gilbert,85850,1019,-26,49,65,50,58,57,279,"$1,600"
14,2940,Emerson Keith,47472,1025,-21,50,53,53,63,65,284,"$1,500"
15,2925,Cameron Colglazier,47407,1025,-20,51,61,53,62,58,285,"$1,350"
15,2925,Ezra Aderhold,121715,1018,-20,52,55,50,61,67,285,"$1,350"
17,2895,Matthew Orum,18330,1038,-19,54,56,52,60,64,286,"$1,105"
17,2895,Adam Hammes,57365,1039,-19,50,59,56,61,60,286,"$1,105"
17,2895,James Proctor,34250,1041,-19,51,58,54,66,57,286,"$1,105"
17,2895,Simon Lizotte,8332,1032,-19,53,60,52,61,60,286,"$1,105"
21,2835,Raven Newsom,88212,1018,-18,55,56,54,62,60,287,$990
21,2835,Corey Ellis,44512,1015,-18,56,58,59,58,56,287,$990
21,2835,Ezra Robinson,50671,1022,-18,55,61,56,57,58,287,$990
21,2835,Joel Freeman,69509,1031,-18,53,57,58,59,60,287,$990
25,2775,Aaron Gossage,35449,1016,-17,55,57,54,60,62,288,$900
25,2775,Chris Clemons,50401,1025,-17,58,58,52,59,61,288,$900
25,2775,Matt Hammersten,81781,1023,-17,52,61,54,60,61,288,$900
28,2730,Austin Hannum,68835,1017,-16,50,60,56,59,64,289,$845
28,2730,Paul Ulibarri,27171,1028,-16,59,61,50,57,62,289,$845
30,2700,Anthony Barela,44382,1031,-15,51,61,47,71,60,290,$825
30,2700,Dallin Blanchard,72707,1037,-15,49,65,53,57,66,290,$825
32,2670,Scott Withers,38464,1036,-14,52,59,57,63,60,291,$810
33,2655,Dan Hastings,33504,1013,-12,50,61,59,61,62,293,$775
33,2655,Gannon Buhr,75412,1018,-12,56,61,57,59,60,293,$775
33,2655,Zackeriath Johnson,50312,1016,-12,52,61,56,60,64,293,$775
33,2655,Connor O'Reilly,99648,1010,-12,50,61,58,61,63,293,$775
33,2655,Jeremy Koling,33705,1026,-12,54,61,57,60,61,293,$775
33,2655,Albert Tamm,76669,1019,-12,55,63,55,60,60,293,$775
39,2565,Andrew Fish,58320,1029,-11,59,58,57,60,60,294,$740
40,2550,Gavin Rathbun,60436,1024,-10,57,65,56,59,58,295,$695
40,2550,Brodie Smith,128378,1008,-10,59,63,54,60,59,295,$695
40,2550,G.T. Hancock,49885,1007,-10,55,65,52,63,60,295,$695
43,2505,Nicholas Carl,82935,996,-9,63,55,59,61,58,296,$645
43,2505,Alexander Krause,100061,996,-9,64,58,55,61,58,296,$645
43,2505,Colten Montgomery,35876,1021,-9,59,60,55,59,63,296,$645
43,2505,Drew Gibson,48346,1036,-9,52,62,57,62,63,296,$645
43,2505,Alden Harris,98091,1020,-9,56,60,56,60,64,296,$645
43,2505,Garrett Gurthie,13864,1029,-9,54,63,60,60,59,296,$645
49,2415,Lance Brown,58644,993,-8,63,55,59,58,62,297,$615
49,2415,Luke Humphries,69424,1012,-8,54,64,58,59,62,297,$615
49,2415,Alex Russell,66362,1019,-8,53,59,58,63,64,297,$615
49,2415,Jacob Sanders,78848,1011,-8,53,58,57,63,66,297,$615
49,2415,Gavin Babcock,80331,999,-8,54,61,57,61,64,297,$615
49,2415,Cole Redalen,79748,1010,-8,52,61,54,71,59,297,$615
55,2325,Dustin Keegan,35187,1015,-7,50,62,60,63,63,298,$595
56,2310,Matt Bell,48950,1022,-6,54,64,54,62,65,299,$585
56,2310,Nathan Queen,68286,1027,-6,60,62,54,60,63,299,$585
56,2310,Nikko Locastro,11534,1034,-6,57,62,60,60,60,299,$585
56,2310,Ty Love,89959,1014,-6,57,65,48,65,64,299,$585
60,2250,Caleb Bruce,101944,992,-4,63,50,58,65,65,301,$560
60,2250,Jonathan Nicholson,101390,1011,-4,57,61,58,62,63,301,$560
60,2250,Casey White,81739,1019,-4,61,60,56,63,61,301,$560
60,2250,Leif Swenson,32388,1010,-4,57,65,53,64,62,301,$560
60,2250,Clint Calvin,84958,1020,-4,55,65,62,59,60,301,$560
65,2175,Kyle Crabtree,25596,1022,-3,52,65,62,59,64,302,$545
65,2175,Reid Frescura,48338,1010,-3,55,68,55,59,65,302,$545
67,2145,Kyle Griffin,67149,987,-2,67,53,56,61,66,303,$535
67,2145,Logan Harpool,101319,1003,-2,56,61,60,62,64,303,$535
69,2115,Jordan Castro,49431,1019,-1,56,65,54,66,63,304,$520
69,2115,Randon Latta,51685,1010,-1,56,59,60,62,67,304,$520
69,2115,Paul Oman,34344,1013,-1,55,68,56,60,65,304,$520
69,2115,Dion Arlyn,24781,1019,-1,53,66,59,60,66,304,$520
73,2055,Sam Lee,78519,997,E,59,62,58,62,64,305,$490
73,2055,Philip Bartholomew,45441,1005,E,59,58,59,62,67,305,$490
73,2055,Nate Perkins,65737,1008,E,56,66,52,64,67,305,$490
76,2010,Alexander Lyon,80636,994,1,66,50,55,68,67,306,$475
76,2010,Zane Letts,57544,993,1,62,53,58,67,66,306,$475
76,2010,Eric Oakley,53565,1019,1,64,64,60,53,65,306,$475
76,2010,Seth Talbott,114877,1006,1,58,67,61,54,66,306,$475
80,1950,Tristan Tanner,99053,993,2,67,59,61,51,69,307,$455
80,1950,Jake Palmer,55615,984,2,59,59,55,68,66,307,$455
80,1950,Andrew Presnell,63765,1029,2,56,65,60,58,68,307,$455
80,1950,Luke Samson,59419,1003,2,57,60,58,64,68,307,$455
84,1890,Danny Beauchamp,76153,999,3,57,64,58,62,67,308,$440